Image,Operation,Width,Height,Layout,Phase,Threads,Schedule,Chunk,Simd_Build,OMP_Places,OMP_Proc_Bind,Hostname,Compiler,Build_Flags,Samples,Median_ms,Min_ms,Max_ms,Mean_ms,StdDev_ms
4000x3000.png,Gaussian_11x11,3990,2990,SoA,SoA_to_AoS,8,static,,off,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=0 -fno-tree-vectorize,5,3.890302,3.724790,4.130616,3.897286,0.158440
4000x3000.png,Gaussian_11x11,3990,2990,SoA,SoA_to_AoS,8,static,,omp,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=1,5,4.063551,3.652084,4.214684,3.957919,0.255605
4000x3000.png,Grayscale,4000,3000,AoS,Kernel,1,static,,off,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=0 -fno-tree-vectorize,5,46.070000,46.050868,46.484506,46.219261,0.216587
4000x3000.png,Grayscale,4000,3000,AoS,Kernel,1,static,,omp,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=1,5,47.859494,47.843199,48.328009,48.027262,0.239515
4000x3000.png,Grayscale,4000,3000,AoS,Kernel,12,static,,off,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=0 -fno-tree-vectorize,5,5.501540,5.459839,5.537520,5.501418,0.027988
4000x3000.png,Grayscale,4000,3000,AoS,Kernel,12,static,,omp,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=1,5,5.613180,5.585099,5.714073,5.637723,0.053072
4000x3000.png,Grayscale,4000,3000,AoS,Kernel,16,static,,off,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=0 -fno-tree-vectorize,5,4.462924,4.450839,4.528975,4.483300,0.037759
4000x3000.png,Grayscale,4000,3000,AoS,Kernel,16,static,,omp,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=1,5,4.624265,4.574534,4.693435,4.639700,0.052054
4000x3000.png,Grayscale,4000,3000,AoS,Kernel,2,static,,off,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=0 -fno-tree-vectorize,5,24.366889,23.404831,24.525336,24.112984,0.460927
4000x3000.png,Grayscale,4000,3000,AoS,Kernel,2,static,,omp,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=1,5,25.273686,25.022299,26.370340,25.446156,0.528842
4000x3000.png,Grayscale,4000,3000,AoS,Kernel,20,static,,off,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=0 -fno-tree-vectorize,5,3.894572,3.825765,3.955233,3.904738,0.053704
4000x3000.png,Grayscale,4000,3000,AoS,Kernel,20,static,,omp,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=1,5,4.051284,3.958100,4.141997,4.048747,0.070437
4000x3000.png,Grayscale,4000,3000,AoS,Kernel,4,static,,off,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=0 -fno-tree-vectorize,5,12.895834,12.823075,12.952589,12.893373,0.048022
4000x3000.png,Grayscale,4000,3000,AoS,Kernel,4,static,,omp,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=1,5,13.270600,12.946626,13.562427,13.264120,0.227242
